"To Fixed Value","至固定值"
"Customer registered: %s","註冊顧客： %s"
"Row total in cart","購物車中的總行數"
"Description: %s","敘述： %s"
"Customer is new buyer: %s","顧客為新買家： %s"
"Expire at: %s","到期日： %s"
"By Fixed value","使用固定值"
"Update the Product","更新此商品"
"To Percentage","至百分比"
"Attribute Set","屬性組"
"Start at: %s","開始於： %s"
"Product attribute combination","商品屬性組合"
"By Percentage","使用百分比"
"Price in cart","購物車中的價錢"
"Quantity in cart","購物車中的數量"
"Name: %s","名稱： %s"
"Update product's %s %s: %s","更新產品的 %s %s: %s"
"Invalid item entity","錯誤的商品實體"
"Conditions combination","條件組合"
"Special price","特別價"
