"Sales","銷售"
"Orders","訂單"
"Invoices","發票"
"Tax","稅"
"Manage Tax Rules","編輯稅則"
"Manage Tax Rates","編輯稅率"
"Import / Export Tax Rates","匯入 / 匯出稅率"
"Customer Tax Classes","顧客稅別"
"Product Tax Classes","產品稅別"
"Configuration","設定"
"Catalog","目錄"
"Manage Products","管理商品"
"Manage Categories","管理目錄"
"Attributes","屬性"
"Manage Attributes","管理屬性"
"Manage Attribute Sets","管理屬性組"
"Reviews &amp; Ratings","評論 &amp; 評價"
"Customer Reviews","顧客評論"
"Pending Reviews","等待中的評論"
"All Reviews","所有評論"
"Manage Ratings","管理評價"
"Tags","標籤"
"Pending Tags","待決標籤"
"All Tags","所有標籤"
"Customers' Tags","顧客標籤"
"Products' Tags","產品標籤"
"Search","搜索"
"Datafeeds","Datafeeds"
"Dashboard","控制台"
"Customers","客戶"
"Manage Customers","管理客戶"
"Customer Groups","客戶群"
"Online Customers","網上客戶"
"Promotions","促銷活動"
"Catalog Price Rules","目錄價格規則"
"Shopping Cart Price Rules","購物車價格規則"
"CMS","頁面管理系統"
"Manage Pages","管理頁面"
"Static Blocks","靜態格"
"Poll Manager","投票管理員"
"Newsletter","電子報"
"Newsletter Templates","電子報模板"
"Subscribers","訂閱人"
"Newsletter Queue","電子報佇列"
"Newsletter Problem Reports","電子報問題報告"
"Reports","報表"
"Sales Report","銷售報表"
"Shopping Cart Report","購物車報表"
"Products","產品"
"Products Report","產品報表"
"Coupons Reports","折價卷報表"
"Wishlist Report","收藏報表"
"Reviews Report","評論報表"
"Customers Reviews","顧客評論"
"Products Reviews","商品評論"
"Tags Report","標籤報表"
"Products (Total)","商品 (所有)"
"Popular","熱門"
"Search Report","搜尋報表"
"Best Customers","優良顧客"
"Recent Orders","最近的訂單"
"Order Totals","訂單總價"
"System","系統"
"My Account","我的帳戶"
"Tools","工具"
"Backups","備份"
"Manage Currency","管理幣種"
"Transactional Emails","交易郵件"
"Permissions","權限"
"Users","用戶"
"Roles","角色"
"Invoice Information","發票訊息"
"Store Name","商店名稱"
"Create Backup","建立備份"
"Title","稱謂"
"Add New User","加入新用戶"
"Unknown","未知"
"View Order","查看訂單"
"Number of Unique Tags","獨特標籤數"
"State/Province","州/省"
"No Newsletter Found","找不到電子報"
"Session Start Time","Session 開始時間"
"Edit Queue","編輯佇列"
"Edit Review '%s'","編輯評論 '%s'"
"Comparable","可比較的"
"Number of Reviews","評論總數"
"Block Title","模塊標題"
"Add New","加入新"
"Add New Image","加入新圖片"
"Unable to find a user to delete","找不到要刪除的用戶"
"Related Products","關聯商品"
"Items in Cart","購物車品目"
"This user no longer exists","用戶已不存在"
"Shipping Method","寄送方式"
"Signed Up From","登錄從"
"Cancel Order","取消訂單"
"Can be used only with catalog input type Dropdown","只能和目錄下拉式選單使用"
"Error while deleting this rate. Please try again later.","刪除匯率失敗。請稍後再試。"
"Save Account","儲存帳戶"
"Shopcart Products","購物車產品"
"Addresses","地址"
"Number Purchased","購買數量"
"Rule Name","規則名稱"
"You cannot delete this attribute","您無法刪除該屬性"
"List only","僅顯示列表"
"Last Modified","最後編輯"
"Reset Filter","重設過濾器"
"Please make sure that all global admin search modules are installed and activated.","請確認 global admin 搜尋模組已安裝並開啟。"
"Global","通用"
"New Address","新地址"
"Delete Category","刪除目錄"
"Tag","標籤"
"Are you sure you want to delete this attribute set?","你確定要刪除此屬性組嗎？"
"Physical Products","實際的商品"
"Created at","建立於"
"User Roles Information","用戶角色資訊"
"Currency Information","匯率資料"
"Carts","購物車"
"Attribute Label","屬性標籤"
"Credit Memo Information","收款備註資料"
"Error Code","錯誤代碼"
"Product attribute was successfully saved","產品屬性已儲存成功"
"Tag Detail","標籤詳細資料"
"State","州"
"Website was successfully saved","網站已儲存成功"
"Delete Address","刪除地址"
"Error while deleting this tax class. Please, try again later.","刪除稅率類別失敗。請稍後再試"
"Unique Value (not shared with other products)","獨特值（與其他產品不同）"
"The invoice you are trying to create credit memo for no longer exists","您要加入收款備註資料的發票不存在"
"Edit Tag '%s'","編輯標籤 '%s'"
"Rating Options","匯率選項"
"Add Attribute","增加屬性"
"Error while saving this group. Please try again later.","儲存群組失敗。請稍後在試。"
"Summary of review","評論摘要"
"Cancel","取消"
"HTML","HTML"
"New Invoice for Order #%s","訂單 #%s 的新發票"
"Add Tier","Add Tier"
"Role Resources","角色資源"
"Edit Tax Rule","編輯稅則"
"Qty Backordered","延期交貨數量"
"Subscribed to Newsletter?","訂閱電子報？"
