"* Required Fields","* 必需欄位"
"A new password was sent","新的密碼已經寄出"
"Account Dashboard","帳戶控制台"
"Account Information","帳戶信息"
"Account Sharing Options","帳戶分享選項"
"Account information was successfully saved","帳戶資料儲存成功"
"Action","動作"
"Add New Address","增加新地址"
"Add New Customer","增加新客戶"
"Add New Customer Group","增加新客戶群"
"Added From","加入時間從"
"Additional Address Entries","附加地址欄位"
"Address","地址"
"Address Book","地址簿"
"Address Information","地址資料"
"Addresses","地址"
"Admin","管理員"
"All","全部"
"All Store Views","所有商店視版"
"All countries","所有國家"
"Always optional","總是可選的"
"Amount","數目"
"Approved","通過"
"Are you sure that you want to remove this item?","您確定要刪除此商品嗎？"
"Are you sure you want to cancel adding of this address?","您確定要取消加入此地址嗎？"
"Are you sure you want to delete this address?","您確定要刪除此地址嗎？"
"Are you sure?","你確定嗎？"
"Array of Entity collections is expected","需要陣列實體群"
"Assign a customer group","指定客戶群"
"Average Sale","平均銷售"
"Back","回上頁"
"Back to Login","返回登入頁面"
"Bad request.","不正確的要求。"
"Bill to Name","收款人姓名"
"Billing Information","收款資料"
"Bought From","購自"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","建立新的帳戶可以使您快速的完成訂單，安排多個寄送地址，和查看並追蹤您的訂單等等方便的功能。"
"CSV","CSV 格式"
"Can\'t save address","無法儲存地址"
"Can\'t save customer","無法儲存客戶"
"Can\'t share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","無法全面共享客戶帳戶。因為有些客戶電子郵件地址同時存在於多個網站並且無法合併。"
"Cancel","取消"
"Change Account Password","更改帳戶密碼"
"Change Billing Address","更改收款地址"
"Change Password","更改密碼"
"Change Shipping Address","更改寄送地址"
"City","縣市"
"Company","公司"
"Config","設定"
"Confirm New Password","確認新密碼"
"Confirm Password","密碼確認"
"Confirmation Link Email","確認連結信"
"Confirmed","已確認"
"Contact Information","聯絡資料"
"Continue Shopping","繼續購物"
"Country","國家"
"Create","建立"
"Create New Account Options","建立新帳戶選項"
"Create New Customer Account","建立新客戶帳戶"
"Create Order","建立訂單"
"Create an Account","建立帳號"
"Create customer","建立客戶"
"Create customer address","建立客戶地址"
"Current Password","目前密碼"
"Customer","客戶"
"Customer Addresses","客戶地址"
"Customer Api","客戶 API"
"Customer Configuration","客戶相關設定"
"Customer Group","客戶群"
"Customer Group was successfully deleted","客戶群已成功刪除"
"Customer Group was successfully saved","客戶群已成功儲存"
"Customer Groups","客戶群"
"Customer Information","客戶資料"
"Customer Login","客戶登錄"
"Customer Since","客戶加入時間"
"Customer View","客戶視版"
"Customer collection expected","應為客戶集"
"Customer doesn't have primary billing address","客戶無主要寄送地址"
"Customer email already exists","顧客郵件已存在"
"Customer website id must be specified, when using website scope.","使用網站範圍必須指定客戶網站 ID。"
"Customer will stay on the current page if ""No"" is selected","如果選 '否' 客戶將會停留在目前的網頁"
"Customers","客戶"
"Customers Only","僅客戶"
"Customers Section","客戶區"
"DD","DD"
"Date","日期"
"Date Added","加入日期"
"Date of Birth","生日"
"Date of Birth is required.","生日為必填"
"Day","日"
"Days in Wishlist","在收藏中的天數"
"Default Addresses","預設地址"
"Default Billing Address","預設的收款地址"
"Default Email Domain","預設的電子郵件 Email 網域"
"Default Group","預設的群組"
"Default Shipping Address","預設的寄送地址"
"Default Welcome Email","預設的歡迎信件"
"Delete","刪除"
"Delete Address","刪除地址"
"Delete Customer","刪除客戶"
"Delete Customer Group","刪除客戶組"
"Delete customer","刪除客戶"
"Delete customer address","刪除客戶地址"
"Deleted Stores","刪除商店"
"Details","詳細資料"
"Disabled","關閉"
"Edit","編輯"
"Edit Account Info","編輯帳號資料"
"Edit Account Information","編輯帳戶資訊"
"Edit Address","編輯地址"
"Edit Address Entry","編輯地址欄位"
"Edit Customer Group ""%s""","編輯客戶群組 “%s”"
"Edit Customer Groups","編輯客戶群組（多）"
"Edit Customer's Address","編輯客戶地址"
"Edit Group","編輯群組"
"Edit Newsletter Subscription","編輯新聞訂閱單"
"Edit Newsletters","編輯電子報訂閱單"
"Edit Personal Information","編輯個人資料"
"Email","電子郵件"
"Email Address","電子郵件地址"
"Email Sender","電子郵件寄送人"
"Entity collection is expected","應為實體集"
"Error during retrieval of option value: %s","取得選項值: %s 中發生錯誤"
"Ext. Price","延伸價格"
"Failed to confirm customer account.","確認客戶帳號失敗"
"Fax","傳真"
"First Name","名"
"First name can\'t be empty","名不能為空白"
"Forgot Email Sender","忘了寄件人"
"Forgot Email Template","忘了電子郵件模板"
"Forgot Your Password?","忘了您的密碼？"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","從您的帳戶面板中，您可以簡單的瀏覽您最近的帳戶交易資料，並且可以更改您的帳戶資料。從下面的連結來選擇查看或是編輯資料。"
"General Subscription","一般訂閱"
"Global","通用"
"Go to Address Book","到地址簿"
"Grand Total","總價"
"Grand Total: %s","總價： <strong>%s</strong>"
"Group","群組"
"Group ""%s"" can not be deleted","群組 “%s” 不能被刪除"
"Group Information","群組資訊"
"Group Name","群組名稱"
"Guest","訪客"
"HTML","HTML"
"Hello, %s!","您好, %s!"
"ID","ID"
"IP Address","IP 位址"
"If you have an account with us, please log in.","如果您已有帳戶，請登入。"
"Invalid attribute option specified for attribute %s (%s), skipping the record","指定給 %s (%s) 屬性的屬性選項無效，略過紀錄"
"Invalid attribute set specified, skipping the record","無效的指定屬性組，略過紀錄"
"Invalid current password","目前密碼錯誤"
"Invalid customer data","錯誤的客戶資料"
"Invalid email address","錯誤的電子郵件地址"
"Invalid email address ""%s""","錯誤的電子郵件地址 “%s”"
"Invalid login or password.","登入名稱或密碼錯誤。"
"Invalid option id specified for %s (%s), skipping the record","指定給 %s (%s) 選項的選項編號無效，略過紀錄"
"Invalid store specified, skipping the record","無效的指定商店，略過紀錄"
"Items Order","商品排序"
"Last 5 Orders","前 5 個訂單"
"Last Activity","最近活動"
"Last Name","姓"
"Last Url","最後查看網址"
"Last Viewed Items","最後查看商品"
"Last date subscribed","最後訂閱日期"
"Last date unsubscribed","最後退訂日期"
"Last name can\'t be empty","姓不能為空白"
"Leave empty for default (15 minutes).","如不填寫將使用預設時間（ 15 分鐘）"
"Leave empty for default (2). Valid range: 1-4","如不填寫將使用預設值 (2). 有效範圍： 1 - 4"
"Lifetime Sales","終生銷售"
"Log In","登入"
"Log Out","登出"
"Log in or Create an Account","登入或建立帳戶"
"Login","登入"
"Login Information","登入資料"
"Login Options","登入選項"
